Player Name,Overs,Maidens,Runs,Wickets,Economy,4s,6s,Opposition,Venue,Match Type
Akash Deep,19,0,83,3,4.36,2,1,England,Ranchi,Test
Arshdeep Singh,2,0,7,1,3.5,3,2,Afghanistan,Dubai (DICS),T20I
Arshdeep Singh,3,0,17,1,5.66,1,1,Afghanistan,Hangzhou,T20I
Arshdeep Singh,4,0,41,0,10.25,1,1,Australia,Visakhapatnam,T20I
Arshdeep Singh,4,0,46,1,11.5,1,2,Australia,Thiruvananthapuram,T20I
Arshdeep Singh,4,0,44,1,11,1,2,Australia,Guwahati,T20I
Arshdeep Singh,4,0,40,2,10,1,2,Australia,Bengaluru,T20I
Arshdeep Singh,4,0,38,2,9.5,2,2,Bangladesh,Adelaide,T20I
Arshdeep Singh,3,0,10,1,3.33,1,1,Bangladesh,Hangzhou,T20I
Arshdeep Singh,3.3,1,18,2,5.14,2,2,England,Southampton,T20I
Arshdeep Singh,2,0,15,0,7.5,2,2,England,Adelaide,T20I
Arshdeep Singh,4,0,44,1,11,2,2,Hong Kong,Dubai (DICS),T20I
Arshdeep Singh,4,0,35,1,8.75,2,1,Ireland,Dublin (Malahide),T20I
Arshdeep Singh,4,0,29,1,7.25,2,2,Ireland,Dublin (Malahide),T20I
Arshdeep Singh,4,0,43,2,10.75,1,2,Nepal,Hangzhou,T20I
Arshdeep Singh,4,0,37,2,9.25,2,2,Netherlands,Sydney,T20I
Arshdeep Singh,3,0,29,0,9.66,2,2,New Zealand,Mount Maunganui,T20I
Arshdeep Singh,4,0,37,4,9.25,2,1,New Zealand,Napier,T20I
Arshdeep Singh,8.1,0,68,0,8.32,1,2,New Zealand,Auckland,ODI
Arshdeep Singh,5,1,21,0,4.2,2,2,New Zealand,Christchurch,ODI
Arshdeep Singh,4,0,51,1,12.75,2,1,New Zealand,Ranchi,T20I
Arshdeep Singh,2,0,7,2,3.5,6,1,New Zealand,Lucknow,T20I
Arshdeep Singh,3,0,16,2,5.33,2,2,New Zealand,Ahmedabad,T20I
Arshdeep Singh,3.5,0,33,2,8.6,2,1,Pakistan,Dubai (DICS),T20I
Arshdeep Singh,3.5,0,27,1,7.04,2,2,Pakistan,Dubai (DICS),T20I
Arshdeep Singh,4,0,32,3,8,2,1,Pakistan,Melbourne,T20I
Arshdeep Singh,4,0,32,3,8,2,1,South Africa,Thiruvananthapuram,T20I
Arshdeep Singh,4,0,62,2,15.5,2,2,South Africa,Guwahati,T20I
Arshdeep Singh,4,0,25,2,6.25,2,2,South Africa,Perth,T20I
Arshdeep Singh,2,0,31,0,15.5,2,2,South Africa,Gqeberha,T20I
Arshdeep Singh,2,0,13,1,6.5,3,2,South Africa,Johannesburg,T20I
Arshdeep Singh,10,0,37,5,3.7,2,1,South Africa,Johannesburg,ODI
Arshdeep Singh,8,0,28,1,3.5,2,2,South Africa,Gqeberha,ODI
Arshdeep Singh,9,1,30,4,3.33,2,2,South Africa,Paarl,ODI
Arshdeep Singh,3.5,0,40,0,10.43,2,2,Sri Lanka,Dubai (DICS),T20I
Arshdeep Singh,2,0,37,0,18.5,2,1,Sri Lanka,Pune,T20I
Arshdeep Singh,2.4,0,20,3,7.5,2,2,Sri Lanka,Rajkot,T20I
Arshdeep Singh,4,0,24,2,6,2,2,West Indies,Tarouba,T20I
Arshdeep Singh,4,0,26,1,6.5,2,2,West Indies,Basseterre,T20I
Arshdeep Singh,4,0,33,1,8.25,5,1,West Indies,Basseterre,T20I
Arshdeep Singh,3.1,0,12,3,3.78,4,2,West Indies,Lauderhill,T20I
Arshdeep Singh,2,0,18,0,9,2,2,West Indies,Lauderhill,T20I
Arshdeep Singh,4,0,31,2,7.75,1,1,West Indies,Tarouba,T20I
Arshdeep Singh,4,0,34,1,8.5,2,2,West Indies,Providence,T20I
Arshdeep Singh,3,0,33,0,11,2,1,West Indies,Providence,T20I
Arshdeep Singh,4,0,38,3,9.5,2,1,West Indies,Lauderhill,T20I
Arshdeep Singh,2,0,20,1,10,2,2,West Indies,Lauderhill,T20I
Arshdeep Singh,2,0,9,1,4.5,2,2,Zimbabwe,Melbourne,T20I
Avesh Khan,4,0,37,1,9.25,4,2,Australia,Guwahati,T20I
Avesh Khan,4,0,33,1,8.25,5,2,Australia,Raipur,T20I
Avesh Khan,4,0,39,0,9.75,2,2,Australia,Bengaluru,T20I
Avesh Khan,4,0,43,1,10.75,1,1,England,Nottingham,T20I
Avesh Khan,4,0,53,1,13.25,4,2,Hong Kong,Dubai (DICS),T20I
